unit_id,manufacturer,tag,官网仪器详情页,仪器名称,仪器参数,仪器照片url,仪器详情,抓取状态
agilent_e4406_a,Agilent Technologies,介电常数测定仪,https://www.keysight.com/us/en/product/E4406A/vsa-transmitter-tester-7-mhz-to-4-ghz.html,"E4406A VSA Transmitter Tester, 7 MHz to 4 GHz [Obsolete]","Frequency Range: 7 MHz to 4 GHz; IF Bandwidth: up to 10 MHz (standard) / 80 MHz (Opt B7C); RBW: 1 Hz to 5 MHz; Amplitude Range: -50 dBm to +30 dBm; Dynamic Range: >70 dB; DANL: ~-151 to -152 dBm/Hz; TOI: ~+17 dBm; Phase Noise: -113 dBc/Hz @ 10 kHz offset (1 GHz); Amplitude Accuracy: ±0.4 dB (absolute); EVM Residual: ~0.4%-1%; Input: N-type 50Ω; Freq Ref: 10 MHz OCXO; Modulations: GSM/EDGE/cdmaOne/cdma2000/W-CDMA/1xEV-DO/802.11a/b/g/Bluetooth; Interfaces: GPIB, RS-232, LAN",,VSA 系列发射机测试仪，用于无线发射机的制造测试。一键式测量 ACP/ACLR、EVM、频谱平坦度、占用带宽、SEM、通道功率。数字中频可实现高精度/可重复性。多种选项：BAC (CDMA)、BAE (GSM/EDGE)、BAF (W-CDMA)、B7C (80 MHz IF BW)、B7D（数字解调器）。原来是安捷伦，现在是德科技。 [过时的],ok
agilent_e44nn,Keysight Technologies (Agilent),振荡器（非恒温）,https://www.keysight.com/us/en/product/E4432B/esgd-series-digital-rf-signal-generator-3-ghz.html,"E4432B ESG-D Series Digital RF Signal Generator, 3 GHz [Obsolete]","Freq: 250kHz~1/2/3/4GHz; Output: +13dBm~-136dBm; Phase Noise: -105dBc/Hz @1GHz 20kHz offset; Modulation: AM/FM/PM/Pulse/Digital(FSK/MSK/PSK/QAM); RF BW: 35MHz; I/Q: 40MHz 14-bit; Waveform: 1Msample; Interface: GPIB, RS-232",,ESG系列数字/模拟RF信号发生器，250kHz~4GHz，丰富调制方式，无线通信测试经典平台。已停产，替代N5172B/N5166B。 本地驱动: community_drivers/agilent_e44nn/driver.py (550行),ok
agilent_e8357_a,Agilent Technologies,介电常数测定仪,https://www.keysight.com/us/en/product/E8357A/pna-network-analyzer-300-khz-to-6-ghz.html,"E8357A PNA Network Analyzer, 300 kHz to 6 GHz [Obsolete]","Frequency Range: 300 kHz to 6 GHz; Ports: 2-port (integrated S-param test set); Dynamic Range: >123 dB (10 Hz IF BW); Trace Noise: < 0.004 dB rms (1 kHz IF BW); Output Power: -90 dBm to +3 dBm; IF Bandwidth: 1 Hz to 40 kHz; Max Points: 16001; Sweep Speed: 26 µs/point; Directivity: >42 dB raw / >50 dB calibrated; Test Port Connector: 3.5 mm (male) / SMA compatible; Impedance: 50Ω; Display: 10.4-inch color; Weight: 22 kg; Dimensions: 432 × 221 × 556 mm; OS: Windows; Interfaces: GPIB, LAN, USB",,PNA 系列网络分析仪用于高性能射频元件表征。全 2 端口 S 参数测量 (S11/S21/S12/S22)。 CW/步进/模拟扫描模式。选项：014/UNL（可配置测试装置）、080（频偏模式）、010（时域）。属于 E835xA 系列的一部分。已停产，由 PNA-L/PNA-X 取代。 [过时的],ok
agilent_n9010_a_wrapper,Keysight Technologies,介电常数测定仪,https://www.keysight.com/us/en/product/N9010A/n9010a-exa-signal-analyzer.html,"N9010A EXA Signal Analyzer, 10 Hz to 44 GHz","Frequency Range: 10 Hz to 44 GHz (options: 503/507/513/526/544); DANL: -172 dBm (with preamp, best); DANL @ 1 GHz: -154 dBm (preamp) / -148 to -150 dBm (no preamp); Phase Noise: -128 dBc/Hz @ 10 kHz offset (1 GHz); RBW: 1 Hz to 8 MHz; Analysis BW: up to 25 MHz (expandable 40 MHz); Amplitude Accuracy: ±0.23 dB; TOI: +17 to +23 dBm; Attenuator: 0-70 dB (2 dB steps); Display: 8.4-inch XGA touchscreen (1024×768); Dimensions: 177 × 426 × 518 mm; Weight: ~25 kg; Interfaces: USB, LAN, GPIB",,介于 CXA 和 PXA 之间的 X 系列中档信号分析仪。触摸屏前面板，多种测量应用（LTE、W-CDMA、WLAN、蓝牙），兼容 89600 VSA 软件。 NFE 选项可将 DANL 提高约 8-10 dB。可选前置放大器和电子衰减器。 SCPI 远程编程。 [过时的],ok
aguc2,Newport Corporation (MKS),机械臂,https://www.newport.com/p/AG-UC2,"Motor Controller, Piezo, 2 Axis, Agilis™, Hand-held",Axes: 2; Step Resolution: 50nm; Interface: USB Type-A; Connector: 4-pin Mini DIN; Power: USB; Speed: 5/100/1700 steps/s (3 levels); Motor: non-resonant piezo stepper,,紧凑型双轴压电运动控制器，50nm增量精度，USB供电/通信。在售。 本地驱动: community_drivers/aguc2/driver.py (649行),ok
aim_t_ti_el302_p,Aim-TTi,电化学反应器,https://www.aimtti.com/product-category/dc-power-supplies/aim-el-rseries,EL301R,"输出:0-30V/0-2A(60W); 调节方式:线性; 纹波噪声:<1mV RMS; 负载调节:<0.01%; 线路调节:<0.01%; 瞬态响应:<50μs; 温度系数:<100ppm/°C; 接口:RS-232(光隔离,最高9600baud); RS232电压精度:0.3%±20mV; RS232电流精度:0.6%±20mA; 显示:双4位LED; 冷却:无风扇自然对流; 尺寸:140×160×295mm; 重量:4.4kg; 安全:EN61010-1; EMC:EN61326",,EL-R系列可编程线性直流电源，带RS-232接口，60W输出功率，无风扇静音设计，支持恒压/恒流自动切换 本地驱动: community_drivers/aim_t_ti_el302_p/driver.py (254行),ok
ami430,American Magnetics Inc.,电化学反应器,https://www.americanmagnetics.com/magpower.php,AMI Model 430 Power Supply Programmer,"Current Ratings: ±5A~±300A (customizable); Stability: ±0.05% FS; Resolution: 16-bit DAC; Ramp Rate: 0.001~33.333 A/s; Ramp Segments: 5 programmable; Voltage Limit: 0.1~10V; Quench Detection: programmable voltage threshold; Display: 4.3"" TFT LCD touchscreen; Interface: GPIB, RS-232, Ethernet (2017+); Size: 3.5""H x 19""W x 14""D; Power: 100-240VAC",,高精度超导磁体电源编程器，支持多段斜率控制、失超检测和持续开关管理，用于低温物理和磁场实验。在售。 本地驱动: community_drivers/ami430/driver.py (786行),ok
anaheim_automation_smc40,Anaheim Automation,机械臂,https://www.anaheimautomation.com/products/stepper/stepper-motor-controller-item.php?sID=267&serID=16&pt=i&tID=98,Anaheim Automation SMC40 步进电机控制器/索引器,命令集:125+条(运动/编码器/I-O/变量/数学); 内存:16000字节程序存储; 通信:RS232C或RS422; 运行模式:直接模式和存储程序模式; 限位:硬/软/归零限位开关; 支持微步(DIP开关选择); 支持编码器反馈; 可屏蔽I/O和开集(NPN)输出,,基于高速微处理器的步进电机控制器，支持高级语言命令集，包括循环、条件语句、时间延迟、编码器反馈等 本地驱动: community_drivers/anaheim_automation_smc40/driver.py (156行),ok
argon_innova300_c,Coherent Corp.,光化学反应器,https://www.coherent.com/resources/datasheet/lasers/I300Brochure_2000RevA.pdf,Coherent Innova 300C 氩离子激光器 (氩气管驱动),"波长: 355-1154nm; 功率: 100mW-10W; 多线可见光: 457.9-514.5nm; 多线紫外: 333.4-363.8nm; 光束质量: M²<1.1(514.5nm); 电源: 三相208VAC ±10%, 最大60A/相; 冷却水: 8.5L/min; 特性: MotoFreD自动频率双倍",,Coherent Innova 300C氩离子激光器的氩气等离子管控制驱动接口，负责管电流和气压监控。多线输出10-25W，TEM00模式。已停产。 本地驱动: community_drivers/argon_innova300_c/driver.py (460行),ok
as7341,ams-OSRAM,电子天平,https://ams-osram.com/products/sensor-solutions/spectral-sen,ams OSRAM is a global leader in innovative light and sensor solutions,光谱范围:350-1000nm; 通道:8个可见光+1个近红外+1个Clear+1个闪烁检测=11通道; ADC:6通道并行+多路复用器; 滤波:纳米光学沉积干涉滤波; 接口:I2C; 封装:3.1×2×1mm; 支持50/60Hz闪烁检测; 支持外部GPIO同步,,11通道多光谱颜色传感器，纳米光学干涉滤波技术集成到标准CMOS硅，适用于光谱识别、颜色匹配、环境光感测 本地驱动: community_drivers/as7341/driver.py (369行),ok
autolab,Metrohm Autolab,电化学工作站,https://www.metrohm.com/en/products/a/ut30/aut302n_s.html,Metrohm Autolab PGSTAT 电化学工作站,型号: PGSTAT302N/PGSTAT204/PGSTAT128N/PGSTAT101; 最大电流: ±2A(302N); 电流分辨率: 低至30fA(ECD模块); 电位范围: ±10V; 电位分辨率: 0.3µV; 顺从电压: ±30V; 带宽: 最高1MHz; EIS: 10µHz-32MHz(FRA32M); 软件: NOVA,,Metrohm Autolab PGSTAT系列电化学工作站，模块化设计，支持循环伏安(CV)、计时电流法、EIS阻抗谱等电化学技术。NOVA软件平台。 本地驱动: community_drivers/autolab/driver.py (306行),ok
bi_talino,PLUX Biosignals,细胞分析仪,https://www.pluxbiosignals.com/collections/bitalino,BITalino,采样率:1/10/100/1000Hz可选; 模拟端口:4路10bit+2路6bit; 数字端口:2入2出; PWM:1路8bit; 通信:BT/BLE; 传感器:EMG/ECG/EDA/EEG/ACC/LUX; 连接器:UC-E6,,一体化生物信号采集平台，集成6种传感器(肌电/心电/皮肤电/脑电/加速度/光照)，支持蓝牙通信，适用于生物医学工程教学和研究 本地驱动: community_drivers/bi_talino/driver.py (651行),ok
binder_mk53,BINDER GmbH,高低温金属浴,https://www.binder-world.com/en/products/dynamic-climate-cha,BINDER MK 53 Dynamic Climate Chamber,Temp: -40~+180°C; Volume: 53L; Fluctuation: ±0.1~0.5K; Heating Rate: ~4.6K/min; Cooling Rate: ~4.1K/min; Power: 2.6kW; Interface: RS-422; Controller: MB1 (25 programs/100 segments),,用于研究和工业的精确环境模拟。可靠的质量、可持续的产品和专家支持——您成功的最佳条件。,ok
binder_mk56,BINDER GmbH,高低温金属浴,https://www.binder-world.com/us-en/products/climate-chambers/dynamic-climate-chambers/product/mk-56,Model MK 56,Temp: -40~+180°C; Volume: 60L; Humidity: yes; Power: 2.8kW; Refrigerant: R-744(climate-neutral); Display: touchscreen; Data Logger: built-in USB; Interface: Ethernet; Weight: ~168kg,,BINDER MK 系列试验箱适用于 -40 °C 至 +180 °C 之间的所有冷热测试。 MK 是循环温度测试复杂的单独解决方案的巧妙替代方案。,ok
bio_shake,Q.Instruments (Analytik Jena),恒温摇床,https://www.qinstruments.com/laboratory/bioshake-iq/,BioShake iQ,类型: 微孔板加热振荡器; 厂商: Q.Instruments(现Analytik Jena); 温度: 室温至+100°C; 振荡: 200-3000rpm; 兼容: 96/384孔板; 接口: USB,,适用于微孔板和试管的高端恒温摇床 BioShake iQ 高端恒温摇床设计紧凑、时尚，让您只需最少的调整即可执行所有标准混合运行。 BioShake iQ 具有出色的性能，可处理生物技术、制药和学术研究领域的广泛应用。通过将混合操作与孵育阶段相结合，可以减少反应过程时间和操作员工作量，并提高许多程序的效率，从而提高产量。,ok
bk8600,B&K Precision,电化学反应器,https://www.bkprecision.com/products/dc-electronic-loads/8601,B&K Precision 8601 DC Electronic Load,Voltage: 0~120V; Current: 0~30A; Power: 150W; Resolution: 16-bit; Transient: 25kHz; Modes: CC/CV/CR/CW; Remote Sense; Interface: USB/RS-232/GPIB,,B&K Precision 设计和制造可靠且经济高效的测试和测量设备，被工程师和技术人员广泛应用。,ok
bk9100,B&K Precision,电化学反应器,https://www.bkprecision.com/products/power-supplies/9103,B&K Precision 9103 Multi-Range DC Power Supply,Models: 100W~1200W; Voltage: 0~60/42/84/80V; Current: 0~5/20/10/60A; Ripple: ≤2mVrms; Accuracy: ≤0.05%+10mV; Memory: 100×4 V/A; Interface: USB/RS-232/GPIB; Multi-range auto crossover,,B&K Precision 设计和制造可靠且经济高效的测试和测量设备，被工程师和技术人员广泛应用。,ok
bronkhorst_elflow,Bronkhorst High-Tech,注射泵,https://www.bronkhorst.com/products/gas-flow/el-flow-select/,Reliable EL-FLOW Select mass flow meter/controller,Flow: 0.16mln/min~25ln/min; Accuracy: ±0.5%Rd+±0.1%FS; Repeatability: <0.2%Rd; Pressure: 64bar; Temp: 0~70°C; Material: 316L SS; Interface: analog/PROFIBUS/RS-232/EtherCAT/PROFINET,,探索 EL-FLOW Select，这是我们最受欢迎的气体流量设备，以其准确性、流量范围的多功能性以及在不同应用中经过验证的性能而闻名。,ok
bx2_a,Olympus (Evident),荧光显微镜,https://www.evidentscientific.com/en/products/upright/bx53,BX53 Semi-Motorized Fluorescence Microscope | Evident Scientific | Olympus,"光学系统:UIS2万能无穷远; 目镜视场数:22; 物镜:UIS2系列(plan校正,无铅玻璃); 冷凝器:U-UCD8八位万能; 观察模式:明场/暗场/相差/DIC/荧光; 型号包含:BX41/BX45/BX51/BX52/BX61; 兼容最新UPlanXAPO物镜",,BX2系列正置研究显微镜平台，人体工程学设计，UIS2光学系统提供卓越图像质量，支持多种观察模式 本地驱动: community_drivers/bx2_a/driver.py (299行),ok
cc1,Qubitekk,光化学反应器,https://qubitekk.com/products/cc1/,Qubitekk CC1 Coincidence Counter,Inputs: 2 signal + 1 gate (SMA); Coincidence Window: 1-8ns (integer steps); CH1 Delay: 0-14ns; FPGA: Cyclone IV; Interface: USB-B (virtual COM); Baud: 19200; Power: USB,,双通道符合计数器，纳秒级分辨率，用于量子光学实验。注意：原标记为Thorlabs是错误的，实际为Qubitekk。在售。 本地驱动: community_drivers/cc1/driver.py (418行),ok
cesar1312,Advanced Energy,蒸镀仪,https://www.advancedenergy.com/getmedia/5b4acb6d-6ea0-493f-8edd-9f5308fecb6f/cesar-data-sheet.pdf,Advanced Energy Cesar 1312 RF Power Generator (1200W/13.56MHz),"Power: 1200W; Freq: 13.56MHz; Accuracy: ±0.005%; Min Power: 12W(1%); Impedance: 50Ω; Efficiency: 66%; Input: 230VAC; Cooling: air; Rack: 19""; Interface: analog/RS-232/Ethernet/Profibus",,1200W/13.56MHz RF功率发生器，E类开关设计，用于等离子体处理/溅射/PECVD。 本地驱动: community_drivers/cesar1312/driver.py (504行),ok
cobolt0601,HÜBNER Photonics (Cobolt),光化学反应器,https://hubner-photonics.com/products/lasers/diode-lasers/co,Cobolt 06-01 Series Diode Laser,"波长: 405-830nm(多种可选); 功率: 50mW-300+mW; 模式: CW连续; 光束: TEM00, 单纵模窄线宽; 噪声: <0.5% RMS; 寿命: >10,000小时; 尺寸: 30.5×70mm; 调制: 模拟/数字; 厂商: HÜBNER Photonics(原Cobolt)",,Cobolt 06-01是HÜBNER Photonics(原Cobolt AB)的紧凑型CW二极管激光模块，覆盖405-830nm多种波长，用于荧光显微/流式细胞/拉曼光谱。 本地驱动: community_drivers/cobolt0601/driver.py (324行),ok
debyeflex3003,GE/Seifert,X射线衍射仪,https://www.fzu.cz/en/services/equipment-and-technologies/experimental-equipments/x-ray-generator-seifert-iso-debyeflex,X-ray generator Seifert ISO-Debyeflex 3003,最大电压:60kV; 电压范围:2-60kV; 电流范围:2-80mA; 最大功率:3kW; 管类型:密封管(W/Mo/Rh); 控制接口:串口(RS-232); 冷却:水冷(WW 3001); 安全:门联锁/声光报警/紧急断路器,,GE/Seifert高稳定性X射线发生器，3kW功率，60kV最大电压，适用于X射线衍射(Laue法)和乳腺X射线等应用 本地驱动: community_drivers/debyeflex3003/driver.py (284行),ok
dg1000_z,RIGOL Technologies,振荡器（非恒温）,https://www.rigol.com/intl/products/function-arbitrary-waveform-generator/DG1000Z.html,DG1000Z,最大频率: 25MHz(DG1022Z)/30MHz(DG1032Z)/60MHz(DG1062Z); 采样率: 200MSa/s; 垂直分辨率: 14-bit; 通道数: 2; 内建波形: 160+种; 调制: AM/FM/PM/ASK/FSK/PSK/PWM; 内建频率计: 7位200MHz; 谐波发生器: 8次; 接口: USB Host/USB Device/LAN(LXI); SiFi逐点技术: 抖动200ps,,RIGOL DG1000Z系列函数/任意波形发生器，集函数发生器、任意波形发生器、噪声发生器、脉冲发生器、谐波发生器和频率计于一体，采用SiFi逐点生成技术实现高保真信号输出。 本地驱动: community_drivers/dg1000_z/driver.py (268行),ok
dl3000,RIGOL Technologies,电池测试柜,https://www.rigol.com/intl/products/dc-load/DL3000.html,DL3000,型号/功率: DL3021(200W)/DL3031(350W)/DL3041(450W); 电压: 最高150V(DL3021/DL3031)/200V(DL3041); 电流: 最高40A(DL3021)/60A(DL3031); 模式: CC/CV/CR/CP; 动态频率: 最高30kHz; 电流变化率: 最高5A/μs; 内建电池测试; List编程; 接口: USB/LAN(LXI)/RS-232/可选GPIB,,RIGOL DL3000系列可编程直流电子负载，支持30kHz高速动态模式和5A/μs电流变化率，广泛用于汽车电子、燃料电池及电源测试。 本地驱动: community_drivers/dl3000/driver.py (208行),ok
dlpc900_dmd,Texas Instruments,普通光学显微镜,https://www.ti.com/product/DLPC900,Texas Instruments DLPC900 数字微镜设备控制器,内存:128MB DRAM; 封装:BGA-516(ZPC); 支持DMD:DLP6500/DLP670S/DLP500YX/DLP9000; 1-bit图案率:最高9523Hz; 8-bit灰度图案率:最高1031Hz; 预存图案:最多400-1024个1-bit图案; 数据时钟:400MHz; 吞吐量:38Gbps; 波长范围:400-700nm; 支持输入/输出触发同步,,可扩展DMD控制器，用于高速光图案生成，支持3D扫描、3D打印、光谱分析等工业应用，DLP9000需双DLPC900 本地驱动: community_drivers/dlpc900_dmd/driver.py (2403行),ok
dp800,RIGOL Technologies,电化学反应器,https://www.rigol.com/intl/products/dc-power-supply/DP800.html,DP800,通道: 单通道(DP811/DP813)/双通道(DP821/DP822)/三通道(DP831/DP832); 典型输出(DP832): 30V/3A+30V/3A+5V/3A; 纹波噪声: <350μVrms/2mVpp; 瞬态响应: <50μs; 定时器: 最高2048组预设; 显示: 3.5英寸TFT; OVP/OCP保护; 接口: USB/LAN(LXI)/RS-232/可选GPIB,,RIGOL DP800系列低纹波线性可编程直流电源，提供单/双/三通道配置，纹波低至350μVrms，内建丰富的测量分析和定时输出功能。 本地驱动: community_drivers/dp800/driver.py (167行),ok
ds1052e,RIGOL Technologies,振荡器（非恒温）,https://www.rigolna.com/products/digital-oscilloscopes/1000/,RIGOL DS1052E Digital Oscilloscope,带宽: 50MHz; 通道: 2; 采样率: 1GSa/s; 存储深度: 1Mpts; ADC: 8位; 显示: 5.7英寸TFT; 触发: 边沿/脉宽/斜率/视频/交替; 接口: USB; 状态: 旧型号,,作为全球电子测量领域的领导者，RIGOL为全球90多个国家和地区提供测试测量仪器和解决方案。拥有DG70000系列波形发生器、数字示波器等10大产品线，具有高采样率、高带宽等优势。拥有437项发明专利，助您精准测量，应对测试挑战！,ok
dsox3xx4_a,Keysight Technologies,振荡器（非恒温）,https://www.keysight.com/us/en/product/DSOX3034A/oscilloscope-350-mhz-4-channels.html,"DSOX3034A Oscilloscope: 350 MHz, 4 Channels","BW: 350MHz (upgradeable to 1GHz); Channels: 4 analog (+16 digital optional); Sample Rate: 4GSa/s(half)/2GSa/s(all); Memory: 2Mpts(std)/4Mpts(opt); Update Rate: 1M wfms/s; Display: 8.5"" WVGA; WaveGen: 20MHz optional; MegaZoom IV",,InfiniiVision 3000A X-Series 350MHz 4通道，6合1集成，MegaZoom IV百万级刷新，全面可升级。在售。,ok
e3631_a,Keysight Technologies,电化学反应器,https://www.keysight.com/mx/en/product/E3631A/80w-triple-output-power-supply-6v-5a--25v-1a.html,"E3631A 80W Triple Output Power Supply, 6V, 5A & ±25V, 1A [Obsolete]","Output 1: 0-6V/0-5A; Output 2: 0-+25V/0-1A; Output 3: 0--25V/0-1A; Total Power: 80W; Load Regulation (voltage): < 0.01% + 0.5mV (6V) / < 0.01% + 1mV (25V); Line Regulation (voltage): < 0.01% + 0.2mV (6V) / < 0.01% + 0.5mV (25V); Ripple & Noise: < 0.35 mVrms (6V) / < 0.5 mVrms (25V); Programming Accuracy: 0.05% + 10mV (6V) / 0.05% + 50mV (25V); OVP Response: < 1.5ms; Transient Response: < 50µs to 15mV; Interfaces: GPIB, RS-232 (SCPI); Remote Sensing: All outputs",,Keysight E3631A 80W三路输出可编程直流电源，提供6V/5A和±25V/1A输出，适用于混合信号电路测试和实验室通用供电。此为Keysight VISA驱动接口。 本地驱动: community_drivers/e3631_a/driver.py (165行),ok
eiger_detector_io,DECTRIS,X射线衍射仪,https://www.dectris.com/en/detectors/x-ray-detectors/eiger2/,DECTRIS EIGER2 X-ray detectors,像素尺寸:75μm; 最大计数率:10^7 ph/s/pixel; 能量阈值:2个独立阈值; 传感器:Si和CdTe可选; 混合像素光子计数技术; 无读出噪声和暗电流,,EIGER2系列混合像素光子计数X射线探测器，提供同步辐射(X)和实验室(R)版本，单像素点扩展函数 本地驱动: community_drivers/eiger_detector_io/driver.py (146行),ok
