chinese_name,english_name,exists_in_tag_list,tag_id,tag_type,occurrence_count
,sensors,no,,,2
,usb,no,,,2
,work_station,no,,,2
多通阀,Multi-Port Valve,yes,4382,device_template_tag,2
封膜仪,Plate Sealer,yes,4384,device_template_tag,2
离心机,Centrifuge,yes,4434,device_template_tag,2
紫外-可见分光光谱仪,UV-Vis Spectrophotometer,yes,4439,device_template_tag,2
超声破碎仪,Ultrasonic Homogenizer,yes,4453,device_template_tag,2
,Qone_nmr,no,,,1
,audio_analyzer,no,,,1
,battery_test,no,,,1
,bioyond,no,,,1
,bioyond_cell,no,,,1
,bioyond_dispensing_station,no,,,1
,bridge,no,,,1
,bus,no,,,1
,cameraSII,no,,,1
,chinwe,no,,,1
,cmd_seq,no,,,1
,coin_cell_workstation,no,,,1
,community_independent_hq_agilent_dso7054a_oscilloscope,no,,,1
,community_independent_hq_agilent_n9010a_exa_signal_analyzer,no,,,1
,community_independent_hq_allen_bradley_controllogixcompactlogix_plc,no,,,1
,community_independent_hq_ams_as7341_spectral_sensor,no,,,1
,community_independent_hq_andor_scientific_camera,no,,,1
,community_independent_hq_arduino_serial_interface,no,,,1
,community_independent_hq_arx5_robot_arm,no,,,1
,community_independent_hq_asi_tiger_controller,no,,,1
,community_independent_hq_automationdirect_click_plc,no,,,1
,community_independent_hq_beckhoff_twincat_ads,no,,,1
,community_independent_hq_benewake_tof_lidar_sensor,no,,,1
,community_independent_hq_beremiz_openplc_ide,no,,,1
,community_independent_hq_bitalino_biosignal_platform,no,,,1
,community_independent_hq_bosch_bno055_imu_sensor,no,,,1
,community_independent_hq_dh_robotics_gripper,no,,,1
,community_independent_hq_elveflow_microfluidic_valve,no,,,1
,community_independent_hq_fluke_usb_multimeter,no,,,1
,community_independent_hq_gamry_potentiostat,no,,,1
,community_independent_hq_hamilton_star_liquid_handler,no,,,1
,community_independent_hq_hc_sr04_ultrasonic_distance_sensor,no,,,1
,community_independent_hq_jubilee_multi_tool_motion_platform,no,,,1
,community_independent_hq_keithley_2400_series_sourcemeter,no,,,1
,community_independent_hq_keysight_dsox2024a_oscilloscope,no,,,1
,community_independent_hq_kuando_busylight_usb_indicator,no,,,1
,community_independent_hq_lake_shore_instruments_generic,no,,,1
,community_independent_hq_lake_shore_model_350_temperature_controller,no,,,1
,community_independent_hq_lerobot_gamepad_teleop,no,,,1
,community_independent_hq_linux_lm_sensors_hardware_monitor,no,,,1
,community_independent_hq_livox_lidar,no,,,1
,community_independent_hq_luminos_multi_axis_stage,no,,,1
,community_independent_hq_maxon_epos2_motor_controller,no,,,1
,community_independent_hq_metrohm_autolab_pgstat,no,,,1
,community_independent_hq_misty_ii_robot,no,,,1
,community_independent_hq_modbus_rtu_generic_device,no,,,1
,community_independent_hq_multicomp_pro_mp730679_multimeter,no,,,1
,community_independent_hq_mycodo_environmental_controller,no,,,1
,community_independent_hq_national_instruments_fpga,no,,,1
,community_independent_hq_new_era_pump_systems_syringe_pump,no,,,1
,community_independent_hq_newport_2832_c_dual_channel_power_meter,no,,,1
,community_independent_hq_nobo_hub_smart_thermostat,no,,,1
,community_independent_hq_openbci_eeg_system,no,,,1
,community_independent_hq_opendrop_digital_microfluidics,no,,,1
,community_independent_hq_openflexure_microscope,no,,,1
,community_independent_hq_openplc_runtime,no,,,1
,community_independent_hq_openuc2_microscope_stage,no,,,1
,community_independent_hq_pc_liquid_cooling_controller,no,,,1
,community_independent_hq_pyscada_data_acquisition_system,no,,,1
,community_independent_hq_qinstruments_bioshake_iq,no,,,1
,community_independent_hq_raspberry_pi_cpu_temperature_monitor,no,,,1
,community_independent_hq_riegl_vz_series_3d_laser_scanner,no,,,1
,community_independent_hq_rigol_dsa800_spectrum_analyzer,no,,,1
,community_independent_hq_robotiq_2f_852f_140_gripper,no,,,1
,community_independent_hq_robotiq_3_finger_gripper,no,,,1
,community_independent_hq_robotiq_hand_e_gripper,no,,,1
,community_independent_hq_rohde__schwarz_test_instruments,no,,,1
,community_independent_hq_sensirion_sen5x_environmental_sensor,no,,,1
,community_independent_hq_siemens_s7_plc_snap7,no,,,1
,community_independent_hq_slamtec_rplidar,no,,,1
,community_independent_hq_sutter_mp_285_micromanipulator,no,,,1
,community_independent_hq_tecan_evo_liquid_handler,no,,,1
,community_independent_hq_tecan_fluent_liquid_handler,no,,,1
,community_independent_hq_tecan_ptc_thermal_cycler_module,no,,,1
,community_independent_hq_tenma_dc_power_supply,no,,,1
,community_independent_hq_thorlabs_pm100a_power_meter,no,,,1
,community_independent_hq_ufactory_xarm,no,,,1
,community_independent_hq_uni_t_multimeter,no,,,1
,community_independent_hq_universal_robots_ur_series,no,,,1
,community_independent_hq_wasatch_photonics_spectrometer,no,,,1
,community_independent_hq_watlow_ez_zone_temperature_controller,no,,,1
,controllers,no,,,1
,cooling,no,,,1
,daq_detector,no,,,1
,daq_scan,no,,,1
,daqmx_timing,no,,,1
,dashboard_device,no,,,1
,data_mixer,no,,,1
,debug,no,,,1
,detector,no,,,1
,display,no,,,1
,distance_sensor,no,,,1
,echo,no,,,1
,environmental_controller,no,,,1
,environmental_sensor,no,,,1
,esp32,no,,,1
,ethernet,no,,,1
,file_source,no,,,1
,filter_wheel,no,,,1
,flask_service,no,,,1
,fpga,no,,,1
,general_purpose,no,,,1
,generic_tcp,no,,,1
,generic_usb,no,,,1
,gev,no,,,1
,gpio,no,,,1
,graphic,no,,,1
,graphics,no,,,1
,hardware_monitor,no,,,1
,hdf5,no,,,1
,hotel,no,,,1
,i2c,no,,,1
,ieee488,no,,,1
,imaging,no,,,1
,imu_sensor,no,,,1
,indicator,no,,,1
,joystick,no,,,1
,kvaser,no,,,1
,laiyu_liquid_test,no,,,1
,laser_scanner,no,,,1
,lasers,no,,,1
,lattice_graphic,no,,,1
,media,no,,,1
,memory_persistent_storage,no,,,1
,messaging,no,,,1
,microcontroller,no,,,1
,micromanipulator,no,,,1
,microscope,no,,,1
,misc,no,,,1
,mobile_base,no,,,1
,motion_platform,no,,,1
,motion_stage,no,,,1
,motor_controller,no,,,1
,motors,no,,,1
,network,no,,,1
,neware,no,,,1
,neware_battery_test_system,no,,,1
,ni_xnet,no,,,1
,opcua_example,no,,,1
,opsky_ATR30007,no,,,1
,optical,no,,,1
,parameter_control,no,,,1
,pcan,no,,,1
,pcr,no,,,1
,persistent_storage,no,,,1
,point_type_graphic,no,,,1
,post_process_station,no,,,1
,power_analyzers,no,,,1
,power_supply,no,,,1
,property_connection,no,,,1
,protocol,no,,,1
,pump,no,,,1
,ram_dataset,no,,,1
,raw2disk,no,,,1
,reactor,no,,,1
,realsense,no,,,1
,robot_agv,no,,,1
,robotic_arm,no,,,1
,scada,no,,,1
,scanners,no,,,1
,seeed,no,,,1
,sensirion,no,,,1
,separator,no,,,1
,sequencer,no,,,1
,serial,no,,,1
,serial_controller,no,,,1
,service_robot,no,,,1
,shaker,no,,,1
,signal_analyzer,no,,,1
,signals,no,,,1
,solid_dispenser,no,,,1
,source_meter,no,,,1
,spectral_sensor,no,,,1
,spectrometer,no,,,1
,spectroscopy,no,,,1
,spectrum_analyzer,no,,,1
,stream_client,no,,,1
,test_instrument,no,,,1
,thermostat,no,,,1
,timepix,no,,,1
,timepix3,no,,,1
,timepix4,no,,,1
,tub,no,,,1
,usb_can_adapter,no,,,1
,usb_device,no,,,1
,vacuum_and_purge,no,,,1
,viewers,no,,,1
,visualization,no,,,1
,watchdog,no,,,1
,web_fpv,no,,,1
,workstation,no,,,1
,xpt,no,,,1
,xrd_d7mate,no,,,1
,zhida_gcms,no,,,1
反应釜,Reactor Vessel,yes,4375,device_template_tag,1
撕膜仪,Plate Desealer,yes,4396,device_template_tag,1
红外光谱仪,Infrared Spectrometer,yes,4440,device_template_tag,1
自动化耗材堆栈,Automated Consumable Stack,yes,4446,device_template_tag,1
蠕动泵,Peristaltic Pump,yes,4451,device_template_tag,1
