id,name,name_en,type
"4350","稀土永磁与超导材料","Rare Earth Permanent Magnet & Superconducting Materials","experimental_scene"
"4351","固态电解质大装置","Solid-State Electrolyte Large-Scale Facility","experimental_scene"
"4352","硅酸盐与陶瓷材料","Silicate & Ceramic Materials","experimental_scene"
"4353","热处理工艺研发","Heat Treatment Process R&D","experimental_scene"
"4354","金属检测中心","Metal Testing Center","experimental_scene"
"4355","钢铁材料","Steel Materials","experimental_scene"
"4356","合金研发","Alloy R&D","experimental_scene"
"4357","物化表征测试中心","Physicochemical Characterization & Testing Center","experimental_scene"
"4358","Hyper-FIB","Hyper-FIB","experimental_scene"
"4359","纤维纺丝","Fiber Spinning","experimental_scene"
"4360","AGV","AGV","device_template_tag"
"4361","DNA测序仪","DNA Sequencer","device_template_tag"
"4362","X射线衍射仪","X-Ray Diffractometer","device_template_tag"
"4363","一体化配粉配液站","Integrated Powder & Liquid Dispensing Station","device_template_tag"
"4426","电子天平","Electronic Balance","device_template_tag"
"4364","万能试验机标准机","Universal Testing Machine","device_template_tag"
"4365","介电常数测定仪","Dielectric Constant Meter","device_template_tag"
"4366","低温/冷冻离心机","Refrigerated Centrifuge","device_template_tag"
"4367","低温冰箱","Low-Temperature Freezer","device_template_tag"
"4368","光化学反应器","Photochemical Reactor","device_template_tag"
"4369","冷热水机","Chiller / Heater Unit","device_template_tag"
"4370","凝胶渗透色谱仪","Gel Permeation Chromatograph","device_template_tag"
"4371","制备色谱仪","Preparative Chromatograph","device_template_tag"
"4372","匀胶机","Spin Coater","device_template_tag"
"4373","化学气相沉积设备","Chemical Vapor Deposition System","device_template_tag"
"4374","压片机","Tablet Press","device_template_tag"
"4375","反应釜","Reactor Vessel","device_template_tag"
"4376","合成反应仪","Synthesis Reactor","device_template_tag"
"4377","喷雾沉淀装置","Spray Precipitation System","device_template_tag"
"4378","固体称量工作站","Solid Weighing Workstation","device_template_tag"
"4379","固相萃取设备","Solid Phase Extraction System","device_template_tag"
"4380","基质辅助激光解吸电离飞行时间质谱仪","MALDI-TOF Mass Spectrometer","device_template_tag"
"4381","多肽合成仪","Peptide Synthesizer","device_template_tag"
"4382","多通阀","Multi-Port Valve","device_template_tag"
"4383","实时定量PCR仪","Real-Time Quantitative PCR","device_template_tag"
"4384","封膜仪","Plate Sealer","device_template_tag"
"4385","并行反应仪","Parallel Reactor","device_template_tag"
"4386","开关盖加液模块","Cap/Decap Liquid Dispensing Module","device_template_tag"
"4387","微生物培养箱","Microbial Incubator","device_template_tag"
"4388","微通道反应器","Microreactor","device_template_tag"
"4389","恒温摇床","Constant Temperature Shaker","device_template_tag"
"4390","扫描电子显微镜","Scanning Electron Microscope","device_template_tag"
"4391","抽提萃取设备","Extraction Equipment","device_template_tag"
"4392","拉曼光谱仪","Raman Spectrometer","device_template_tag"
"4393","振荡器（非恒温）","Oscillator (Non-Thermostatic)","device_template_tag"
"4394","接种仪","Inoculator","device_template_tag"
"4395","控温磁力搅拌器","Temperature-Controlled Magnetic Stirrer","device_template_tag"
"4396","撕膜仪","Plate Desealer","device_template_tag"
"4397","旋转蒸发器","Rotary Evaporator","device_template_tag"
"4398","旋转黏度计","Rotational Viscometer","device_template_tag"
"4399","普通PCR仪","Thermal Cycler","device_template_tag"
"4400","普通光学显微镜","Optical Microscope","device_template_tag"
"4401","机械搅拌反应釜","Mechanical Stirring Reactor","device_template_tag"
"4402","机械臂","Robotic Arm","device_template_tag"
"4403","柱塞泵","Plunger Pump","device_template_tag"
"4404","核磁共振波谱仪","NMR Spectrometer","device_template_tag"
"4405","核酸合成仪","Nucleic Acid Synthesizer","device_template_tag"
"4406","核酸纯化仪","Nucleic Acid Purification System","device_template_tag"
"4407","模具电池组装工站","Mold Cell Assembly Workstation","device_template_tag"
"4408","毛细管电泳仪","Capillary Electrophoresis System","device_template_tag"
"4409","毛细管黏度计","Capillary Viscometer","device_template_tag"
"4410","气体保护干燥箱","Gas-Protected Drying Oven","device_template_tag"
"4411","气相色谱质谱联用仪","GC-MS","device_template_tag"
"4412","氮吹仪","Nitrogen Evaporator","device_template_tag"
"4413","注射泵","Syringe Pump","device_template_tag"
"4414","洗板机","Microplate Washer","device_template_tag"
"4415","流化床反应器","Fluidized Bed Reactor","device_template_tag"
"4416","流式细胞仪","Flow Cytometer","device_template_tag"
"4417","液体密度计","Liquid Density Meter","device_template_tag"
"4418","液相色谱质谱联用仪","LC-MS","device_template_tag"
"4419","深低温冰箱","Ultra-Low Temperature Freezer","device_template_tag"
"4420","热分析联用仪","Thermal Analysis System","device_template_tag"
"4421","热混匀仪","Thermomixer","device_template_tag"
"4422","球磨机","Ball Mill","device_template_tag"
"4423","生物分子相互作用分析仪","Biomolecular Interaction Analyzer","device_template_tag"
"4424","电化学反应器","Electrochemical Reactor","device_template_tag"
"4425","电化学工作站","Electrochemical Workstation","device_template_tag"
"4427","电池测试柜","Battery Test Cabinet","device_template_tag"
"4428","电热板","Hot Plate","device_template_tag"
"4429","电穿孔仪（电转化仪）","Electroporator","device_template_tag"
"4430","真空干燥箱","Vacuum Drying Oven","device_template_tag"
"4431","真空离心浓缩仪","Vacuum Centrifugal Concentrator","device_template_tag"
"4432","磁珠纯化模块","Magnetic Bead Purification Module","device_template_tag"
"4433","示差扫描量热仪","Differential Scanning Calorimeter","device_template_tag"
"4434","离心机","Centrifuge","device_template_tag"
"4435","移液器","Pipette","device_template_tag"
"4436","移液工作站","Liquid Handling Workstation","device_template_tag"
"4437","移液管","Pipette Tube","device_template_tag"
"4438","箱式电阻炉","Box Resistance Furnace","device_template_tag"
"4439","紫外-可见分光光谱仪","UV-Vis Spectrophotometer","device_template_tag"
"4440","红外光谱仪","Infrared Spectrometer","device_template_tag"
"4441","纽扣电池组装工站","Coin Cell Assembly Workstation","device_template_tag"
"4442","组织培养试验箱","Tissue Culture Chamber","device_template_tag"
"4443","组织破碎机","Tissue Homogenizer","device_template_tag"
"4444","细胞分析仪","Cell Analyzer","device_template_tag"
"4445","细胞融合仪","Cell Fusion System","device_template_tag"
"4446","自动化耗材堆栈","Automated Consumable Stack","device_template_tag"
"4447","荧光显微镜","Fluorescence Microscope","device_template_tag"
"4448","落球黏度计","Falling Ball Viscometer","device_template_tag"
"4449","蒸镀仪","Evaporation Coater","device_template_tag"
"4450","薄层色谱仪","Thin Layer Chromatograph","device_template_tag"
"4451","蠕动泵","Peristaltic Pump","device_template_tag"
"4452","表面等离子体谐振分析仪","Surface Plasmon Resonance Analyzer","device_template_tag"
"4453","超声破碎仪","Ultrasonic Homogenizer","device_template_tag"
"4454","软包电池组装工站","Pouch Cell Assembly Workstation","device_template_tag"
"4455","过滤器","Filter","device_template_tag"
"4456","透射电子显微镜","Transmission Electron Microscope","device_template_tag"
"4457","酶标仪","Microplate Reader","device_template_tag"
"4458","顶置失重固体投料模块","Overhead Loss-in-Weight Solid Feeder","device_template_tag"
"4459","高低温金属浴","High/Low Temperature Metal Bath","device_template_tag"
"4460","高内涵细胞成像分析系统","High Content Cell Imaging Analysis System","device_template_tag"
"4461","高压反应器","High Pressure Reactor","device_template_tag"
"4462","蛋白质组学研究","Proteomics Research","experimental_scene"
"4463","高粘度高分子树脂/薄膜","High-Viscosity Polymer Resin / Film","experimental_scene"
"4464","粘接剂","Adhesive","experimental_scene"
